system:index,CUENCA,FID_CUENCA,HECTARES,SUBCUENCA,VERTIENTE,mean,month,precip_mm,year
36_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,121.02280203617347,1.0,121.02280203617347,2003.0
37_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,53.00815996261212,2.0,53.00815996261212,2003.0
37_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,27.40600199144229,2.0,27.40600199144229,2003.0
37_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,56.35748697523324,2.0,56.35748697523324,2003.0
38_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,132.43041993475595,3.0,132.43041993475595,2003.0
38_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,69.65557265856044,3.0,69.65557265856044,2003.0
38_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,97.94277644862548,3.0,97.94277644862548,2003.0
39_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,26.963236119208812,4.0,26.963236119208812,2003.0
39_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,19.549948403120176,4.0,19.549948403120176,2003.0
39_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,29.179067622776383,4.0,29.179067622776383,2003.0
40_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,137.6420388807927,5.0,137.6420388807927,2003.0
40_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,148.80028795230655,5.0,148.80028795230655,2003.0
40_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,127.14510651550133,5.0,127.14510651550133,2003.0
41_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,282.6355261738639,6.0,282.6355261738639,2003.0
41_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,307.2289756101018,6.0,307.2289756101018,2003.0
41_00000000000000000002,Cahabón-Polochic-Lago Izabal,14,241661.117,Izabal-Río Dulce,Caribe,249.99932130310611,6.0,249.99932130310611,2003.0
42_00000000000000000000,Cahabón-Polochic-Lago Izabal,0,241873.689,Cahabón,Caribe,371.9904168629711,7.0,371.9904168629711,2003.0
42_00000000000000000001,Cahabón-Polochic-Lago Izabal,1,315933.541,Polochic,Caribe,328.01488913983627,7.0,328.01488913983627,2003.0
